original.names,new.name,short.name,description,original.variables,design.logical,design.logical.statistical,modification.IDs,associated.modification.IDs.without.resulting.action,known.remaining.dependencies.after.statistical.treatment,suspected.but.untestable.dependencies,networks.of.dependencies,recode.operation.type,condition.human.readable,condition.if.variable.conditioned,first.priority.variable.if.merged,second.priority.variable.if.merged,third.priority.variable.if.merged,fourth.priority.variable.if.merged,recode.operation.Rcode,original.levels,new.levels,recode.pattern,domain
autotyp_Alienability_NPPossessiveClassesCount,o_autotyp_Alienability_NPPossessiveClassesCount,TLI0011,autotyp_Alienability: NP Possessive Classes Count,TRUE,FALSE,FALSE,D-POV-025,,,,,include without modification,none,,,,,,,1 5;2 4;3 32;4 3;5 20;6 2;7 12;8 10;9 1;10 0;11 ?,,,Morphosyntax
autotyp_Alienability_NPPossessiveClassificationType,o_autotyp_Alienability_NPPossessiveClassificationType,TLI0012,autotyp_Alienability: NP Possessive Classification Type,TRUE,FALSE,FALSE,D-IV2AC-1,,,,,include without modification,none,,,,,,,1 semantic;2 classificatory;3 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_AccDegreeBinnedForAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_AccDegreeBinnedForAgreement,TLI0013,autotyp_AlignmentForDefaultPredicatesPerLanguage: Acc Degree Binned For Agreement,TRUE,FALSE,FALSE,D-POV-076,,,,,include without modification,none,,,,,,,1 medium;2 low;3 high;4 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_AccDegreeBinnedForCase,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_AccDegreeBinnedForCase,TLI0014,autotyp_AlignmentForDefaultPredicatesPerLanguage: Acc Degree Binned For Case,TRUE,FALSE,FALSE,D-POV-070,,,,,include without modification,none,,,,,,,1 medium;2 low;3 high;4 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_AccDegreeBinnedForMarkerAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_AccDegreeBinnedForMarkerAgreement,TLI0015,autotyp_AlignmentForDefaultPredicatesPerLanguage: Acc Degree Binned For Marker Agreement,TRUE,FALSE,FALSE,D-POV-072,,,,,include without modification,none,,,,,,,1 medium;2 low;3 high;4 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_AccDegreeForAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_AccDegreeForAgreement,TLI0016,autotyp_AlignmentForDefaultPredicatesPerLanguage: Acc Degree For Agreement,TRUE,FALSE,FALSE,D-POV-076,,,,,include without modification,none,,,,,,,1 1;2 0.5;3 0;4 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_AccDegreeForCase,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_AccDegreeForCase,TLI0017,autotyp_AlignmentForDefaultPredicatesPerLanguage: Acc Degree For Case,TRUE,FALSE,FALSE,D-AUTOTYPMOD-15,,,,,include without modification,none,,,,,,,1 1;2 0.8571;3 0.8333;4 0.8;5 0.75;6 0.7143;7 0.7;8 0.6875;9 0.6667;10 0.625;11 0.6;12 0.5833;13 0.5714;14 0.5;15 0.4444;16 0.4286;17 0.4;18 0.375;19 0.3333;20 0.2857;21 0.2727;22 0.25;23 0.1875;24 0.1667;25 0;26 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_AccDegreeForMarkerAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_AccDegreeForMarkerAgreement,TLI0018,autotyp_AlignmentForDefaultPredicatesPerLanguage: Acc Degree For Marker Agreement,TRUE,FALSE,FALSE,D-AUTOTYPMOD-13,,,,,include without modification,none,,,,,,,1 1;2 0.9545;3 0.9474;4 0.9444;5 0.9412;6 0.9286;7 0.9266;8 0.9167;9 0.9;10 0.875;11 0.8611;12 0.8333;13 0.8125;14 0.8;15 0.7857;16 0.7778;17 0.7727;18 0.75;19 0.7353;20 0.7222;21 0.6667;22 0.6429;23 0.6389;24 0.6111;25 0.6;26 0.551;27 0.55;28 0.5417;29 0.5;30 0.4483;31 0.4303;32 0.4286;33 0.4048;34 0.3864;35 0.375;36 0.3431;37 0.3333;38 0.3317;39 0.3098;40 0.265;41 0.2461;42 0.2425;43 0.2303;44 0.2173;45 0.2083;46 0.1959;47 0.1951;48 0.1873;49 0.1791;50 0.1751;51 0.1422;52 0.1046;53 0;54 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignment2ForAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignment2ForAgreement,TLI0019,autotyp_AlignmentForDefaultPredicatesPerLanguage: Dominant Alignment 2 For Agreement,TRUE,FALSE,FALSE,D-EXMIX-31,,,,,include without modification,none,,,,,,,1 S=P≠Atr;2 S=Atr≠P;3 S=Atr=P;4 S;5 mixed;6 Atr≠P;7 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignment2ForCase,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignment2ForCase,TLI0020,autotyp_AlignmentForDefaultPredicatesPerLanguage: Dominant Alignment 2 For Case,TRUE,FALSE,FALSE,D-EXMIX-30,,,,,include without modification,none,,,,,,,1 S=P≠Atr;2 S≠Atr≠P;3 S=Atr≠P;4 S=Atr=P;5 mixed;6 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignment2ForMarkerAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignment2ForMarkerAgreement,TLI0021,autotyp_AlignmentForDefaultPredicatesPerLanguage: Dominant Alignment 2 For Marker Agreement,TRUE,FALSE,FALSE,D-EXMIX-31,,,,,include without modification,none,,,,,,,1 S=P≠Atr;2 S≠Atr≠P;3 S≠Atr=P;4 S=Atr≠P;5 S=Atr=P;6 S≠Atr;7 S=Atr;8 mixed;9 Atr≠P;10 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignment3ForAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignment3ForAgreement,TLI0022,autotyp_AlignmentForDefaultPredicatesPerLanguage: Dominant Alignment 3 For Agreement,TRUE,FALSE,FALSE,D-POV-074,,,,,include without modification,none,,,,,,,1 S=P=T≠Atr=Aditr=G;2 S=Atr=P=G≠Aditr=T;3 S=Atr=Aditr≠P=T=G;4 S=Atr=Aditr=P=T≠G;5 S=Atr=Aditr=P=T=G;6 S=Atr=Aditr=P=G≠T;7 mixed;8 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignment3ForCase,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignment3ForCase,TLI0023,autotyp_AlignmentForDefaultPredicatesPerLanguage: Dominant Alignment 3 For Case,TRUE,FALSE,FALSE,D-POV-075,,,,,include without modification,none,,,,,,,1 S=T≠Atr=Aditr≠P=G;2 S=P=T=G≠Atr=Aditr;3 S=P=T≠Atr=Aditr≠G;4 S=Atr=Aditr=T≠P≠G;5 S=Atr=Aditr=T≠P=G;6 S≠Atr=Aditr≠P=T=G;7 S=Atr=Aditr≠P=T≠G;8 S=Atr=Aditr≠P=T=G;9 S=Atr=Aditr=P=T≠G;10 S=Atr=Aditr=P=T=G;11 S=Atr=Aditr≠P=G≠T;12 S=Atr=Aditr=P=G≠T;13 S=Atr=Aditr=G≠P=T;14 mixed;15 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignment3ForMarkerAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignment3ForMarkerAgreement,TLI0024,autotyp_AlignmentForDefaultPredicatesPerLanguage: Dominant Alignment 3 For Marker Agreement,TRUE,FALSE,FALSE,A-IV2,,,,,include without modification,none,,,,,,,1 S=P=T=G≠Atr=Aditr;2 S=P=T≠Atr=Aditr=G;3 S=Atr=Aditr≠P=T=G;4 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignmentPTGForAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignmentPTGForAgreement,TLI0025,autotyp_AlignmentForDefaultPredicatesPerLanguage: Dominant Alignment PTG For Agreement,TRUE,FALSE,FALSE,D-EXMIX-30,,,,,include without modification,none,,,,,,,1 P=T≠G;2 P=T=G;3 P=G≠T;4 mixed;5 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignmentPTGForCase,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignmentPTGForCase,TLI0026,autotyp_AlignmentForDefaultPredicatesPerLanguage: Dominant Alignment PTG For Case,TRUE,FALSE,FALSE,D-EXMIX-30,,,,,include without modification,none,,,,,,,1 T≠P≠G;2 T≠P=G;3 P=T≠G;4 P=T=G;5 P=G≠T;6 mixed;7 G≠P=T;8 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignmentPTGForMarkerAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_DominantAlignmentPTGForMarkerAgreement,TLI0027,autotyp_AlignmentForDefaultPredicatesPerLanguage: Dominant Alignment PTG For Marker Agreement,TRUE,FALSE,FALSE,A-IV1,,,,,include without modification,none,,,,,,,1 P=T≠G;2 P=T=G;3 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_ErgDegreeBinnedForAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_ErgDegreeBinnedForAgreement,TLI0028,autotyp_AlignmentForDefaultPredicatesPerLanguage: Erg Degree Binned For Agreement,TRUE,FALSE,FALSE,D-POV-077,,,,,include without modification,none,,,,,,,1 medium;2 low;3 high;4 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_ErgDegreeBinnedForCase,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_ErgDegreeBinnedForCase,TLI0029,autotyp_AlignmentForDefaultPredicatesPerLanguage: Erg Degree Binned For Case,TRUE,FALSE,FALSE,D-POV-071,,,,,include without modification,none,,,,,,,1 medium;2 low;3 high;4 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_ErgDegreeBinnedForMarkerAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_ErgDegreeBinnedForMarkerAgreement,TLI0030,autotyp_AlignmentForDefaultPredicatesPerLanguage: Erg Degree Binned For Marker Agreement,TRUE,FALSE,FALSE,D-POV-073,,,,,include without modification,none,,,,,,,1 medium;2 low;3 high;4 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_ErgDegreeForAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_ErgDegreeForAgreement,TLI0031,autotyp_AlignmentForDefaultPredicatesPerLanguage: Erg Degree For Agreement,TRUE,FALSE,FALSE,D-POV-077,,,,,include without modification,none,,,,,,,1 1;2 0.5;3 0;4 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_ErgDegreeForCase,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_ErgDegreeForCase,TLI0032,autotyp_AlignmentForDefaultPredicatesPerLanguage: Erg Degree For Case,TRUE,FALSE,FALSE,D-AUTOTYPMOD-16,,,,,include without modification,none,,,,,,,1 1;2 0.8889;3 0.875;4 0.7;5 0.6667;6 0.5714;7 0.5;8 0.4286;9 0.4;10 0.3333;11 0.25;12 0.2;13 0.0625;14 0;15 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_ErgDegreeForMarkerAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_ErgDegreeForMarkerAgreement,TLI0033,autotyp_AlignmentForDefaultPredicatesPerLanguage: Erg Degree For Marker Agreement,TRUE,FALSE,FALSE,D-AUTOTYPMOD-14,,,,,include without modification,none,,,,,,,1 1;2 0.9167;3 0.8333;4 0.7895;5 0.7105;6 0.6471;7 0.6327;8 0.6029;9 0.5789;10 0.5526;11 0.5;12 0.4667;13 0.4483;14 0.4444;15 0.4167;16 0.4048;17 0.3303;18 0.3127;19 0.293;20 0.2771;21 0.2727;22 0.2241;23 0.2083;24 0.1818;25 0.1769;26 0.1765;27 0.1539;28 0.1276;29 0.1263;30 0.1243;31 0.1176;32 0.1114;33 0.102;34 0.1014;35 0.0944;36 0.0924;37 0.0916;38 0.0886;39 0.0621;40 0.0566;41 0;42 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_HasCategoryConditionedSplitsForAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasCategoryConditionedSplitsForAgreement,TLI0034,autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Category Conditioned Splits For Agreement,TRUE,FALSE,FALSE,D-AUTOTYPMOD-17,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_HasCategoryConditionedSplitsForCase,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasCategoryConditionedSplitsForCase,TLI0035,autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Category Conditioned Splits For Case,TRUE,TRUE,TRUE,,S-ALIGN-07,S-ALIGN-07,,alignment,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_HasCategoryConditionedSplitsForMarkerAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasCategoryConditionedSplitsForMarkerAgreement,TLI0036,autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Category Conditioned Splits For Marker Agreement,TRUE,FALSE,FALSE,D-AUTOTYPMOD-17,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_HasClauseRankConditionedSplitsForAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasClauseRankConditionedSplitsForAgreement,TLI0037,autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Clause Rank Conditioned Splits For Agreement,TRUE,FALSE,FALSE,A-IV0,,,,,include without modification,none,,,,,,,1 false;2 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_HasClauseRankConditionedSplitsForCase,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasClauseRankConditionedSplitsForCase,TLI0038,autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Clause Rank Conditioned Splits For Case,TRUE,FALSE,FALSE,A-IV1,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_HasClauseRankConditionedSplitsForMarkerAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasClauseRankConditionedSplitsForMarkerAgreement,TLI0039,autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Clause Rank Conditioned Splits For Marker Agreement,TRUE,FALSE,FALSE,A-IV0,,,,,include without modification,none,,,,,,,1 false;2 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_HasPolarityConditionedSplitsForAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasPolarityConditionedSplitsForAgreement,TLI0040,autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Polarity Conditioned Splits For Agreement,TRUE,FALSE,FALSE,A-IV0,,,,,include without modification,none,,,,,,,1 false;2 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_HasPolarityConditionedSplitsForCase,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasPolarityConditionedSplitsForCase,TLI0041,autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Polarity Conditioned Splits For Case,TRUE,FALSE,FALSE,A-IV0,,,,,include without modification,none,,,,,,,1 false;2 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_HasPolarityConditionedSplitsForMarkerAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasPolarityConditionedSplitsForMarkerAgreement,TLI0042,autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Polarity Conditioned Splits For Marker Agreement,TRUE,FALSE,FALSE,A-IV1,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_HasReferenceConditionedSplitsForAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasReferenceConditionedSplitsForAgreement,TLI0043,autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Reference Conditioned Splits For Agreement,TRUE,FALSE,FALSE,A-IV0,,,,,include without modification,none,,,,,,,1 false;2 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_HasReferenceConditionedSplitsForCase,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasReferenceConditionedSplitsForCase,TLI0044,autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Reference Conditioned Splits For Case,TRUE,TRUE,TRUE,,S-ALIGN-07,S-ALIGN-07,,alignment,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_AlignmentForDefaultPredicatesPerLanguage_HasReferenceConditionedSplitsForMarkerAgreement,o_autotyp_AlignmentForDefaultPredicatesPerLanguage_HasReferenceConditionedSplitsForMarkerAgreement,TLI0045,autotyp_AlignmentForDefaultPredicatesPerLanguage: Has Reference Conditioned Splits For Marker Agreement,TRUE,FALSE,FALSE,D-AUTOTYPMOD-17,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_ClauseWordOrder_PositionVBasicLex,o_autotyp_ClauseWordOrder_PositionVBasicLex,TLI0046,autotyp_ClauseWordOrder: Position V Basic Lex,TRUE,FALSE,FALSE,D-POV-037,,,,,include without modification,none,,,,,,,1 V=3;2 V=2;3 V=1;4 free;5 ?,,,Morphosyntax
autotyp_ClauseWordOrder_PositionVBasicLexIsFinal,o_autotyp_ClauseWordOrder_PositionVBasicLexIsFinal,TLI0047,autotyp_ClauseWordOrder: Position V Basic Lex Is Final,TRUE,FALSE,FALSE,D-POV-037,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_ClauseWordOrder_PositionVBasicLexIsFinalFree,o_autotyp_ClauseWordOrder_PositionVBasicLexIsFinalFree,TLI0048,autotyp_ClauseWordOrder: Position V Basic Lex Is Final Free,TRUE,FALSE,FALSE,D-POV-037,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_ClauseWordOrder_PositionVBasicLexIsInitial,o_autotyp_ClauseWordOrder_PositionVBasicLexIsInitial,TLI0049,autotyp_ClauseWordOrder: Position V Basic Lex Is Initial,TRUE,FALSE,FALSE,D-POV-037,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_ClauseWordOrder_PositionVBasicLexIsMedial,o_autotyp_ClauseWordOrder_PositionVBasicLexIsMedial,TLI0050,autotyp_ClauseWordOrder: Position V Basic Lex Is Medial,TRUE,FALSE,FALSE,D-POV-037,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_ClauseWordOrder_PositionVSecondaryLex,o_autotyp_ClauseWordOrder_PositionVSecondaryLex,TLI0051,autotyp_ClauseWordOrder: Position V Secondary Lex,TRUE,FALSE,FALSE,A-U100LG,,,,,include without modification,none,,,,,,,1 V=3;2 V=2;3 V=1;4 free;5 ?,,,Morphosyntax
autotyp_ClauseWordOrder_PositionVSecondaryLexIsFinal,o_autotyp_ClauseWordOrder_PositionVSecondaryLexIsFinal,TLI0052,autotyp_ClauseWordOrder: Position V Secondary Lex Is Final,TRUE,FALSE,FALSE,A-U100LG,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_ClauseWordOrder_PositionVSecondaryLexIsFinalFree,o_autotyp_ClauseWordOrder_PositionVSecondaryLexIsFinalFree,TLI0053,autotyp_ClauseWordOrder: Position V Secondary Lex Is Final Free,TRUE,FALSE,FALSE,A-U100LG,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_ClauseWordOrder_PositionVSecondaryLexIsInitial,o_autotyp_ClauseWordOrder_PositionVSecondaryLexIsInitial,TLI0054,autotyp_ClauseWordOrder: Position V Secondary Lex Is Initial,TRUE,FALSE,FALSE,A-U100LG,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_ClauseWordOrder_PositionVSecondaryLexIsMedial,o_autotyp_ClauseWordOrder_PositionVSecondaryLexIsMedial,TLI0055,autotyp_ClauseWordOrder: Position V Secondary Lex Is Medial,TRUE,FALSE,FALSE,A-U100LG,,,,,include without modification,none,,,,,,,1 true;2 false;3 ?,,,Morphosyntax
autotyp_ClauseWordOrder_VFinalLex,o_autotyp_ClauseWordOrder_VFinalLex,TLI0056,autotyp_ClauseWordOrder: V Final Lex,TRUE,FALSE,FALSE,D-POV-037,,,,,include without modification,none,,,,,,,1 non_final;2 mixed;3 final;4 ?,,,Morphosyntax
autotyp_ClauseWordOrder_VFinalOrFreeLex,o_autotyp_ClauseWordOrder_VFinalOrFreeLex,TLI0057,autotyp_ClauseWordOrder: V Final Or Free Lex,TRUE,FALSE,FALSE,D-POV-037,,,,,include without modification,none,,,,,,,1 other;2 mixed;3 final_or_free;4 ?,,,Morphosyntax
autotyp_ClauseWordOrder_VInitialLex,o_autotyp_ClauseWordOrder_VInitialLex,TLI0058,autotyp_ClauseWordOrder: V Initial Lex,TRUE,FALSE,FALSE,D-POV-037,,,,,include without modification,none,,,,,,,1 other;2 mixed;3 initial;4 ?,,,Morphosyntax
autotyp_ClauseWordOrder_VMedialLex,o_autotyp_ClauseWordOrder_VMedialLex,TLI0059,autotyp_ClauseWordOrder: V Medial Lex,TRUE,FALSE,FALSE,D-POV-037,,,,,include without modification,none,,,,,,,1 other;2 mixed;3 medial;4 ?,,,Morphosyntax
autotyp_ClauseWordOrder_WordOrderAPBasicLex,o_autotyp_ClauseWordOrder_WordOrderAPBasicLex,TLI0060,autotyp_ClauseWordOrder: Word Order AP Basic Lex,TRUE,FALSE,FALSE,D-POV-037,,,,,include without modification,none,,,,,,,1 OA;2 AO;3 ?,,,Morphosyntax
autotyp_ClauseWordOrder_WordOrderAPLex,o_autotyp_ClauseWordOrder_WordOrderAPLex,TLI0061,autotyp_ClauseWordOrder: Word Order AP Lex,TRUE,FALSE,FALSE,D-POV-037,,,,,include without modification,none,,,,,,,1 OA;2 mixed;3 AO;4 ?,,,Morphosyntax
autotyp_ClauseWordOrder_WordOrderAPSecondaryLex,o_autotyp_ClauseWordOrder_WordOrderAPSecondaryLex,TLI0062,autotyp_ClauseWordOrder: Word Order AP Secondary Lex,TRUE,FALSE,FALSE,A-U100LG,,,,,include without modification,none,,,,,,,1 OA;2 AO;3 ?,,,Morphosyntax
autotyp_ClauseWordOrder_WordOrderAPVBasicLex,o_autotyp_ClauseWordOrder_WordOrderAPVBasicLex,TLI0063,autotyp_ClauseWordOrder: Word Order AP V Basic Lex,TRUE,FALSE,FALSE,D-ENWAAU-05,,,,,include without modification,none,,,,,,,1 xxV;2 Vxx;3 VOA;4 VAO;5 V-2;6 OVA;7 OAV;8 free;9 AVO;10 AOV;11 ?,,,Morphosyntax
autotyp_ClauseWordOrder_WordOrderAPVLexFlexible,o_autotyp_ClauseWordOrder_WordOrderAPVLexFlexible,TLI0064,autotyp_ClauseWordOrder: Word Order AP V Lex Flexible,TRUE,FALSE,FALSE,D-ENWAAU-05,,,,,include without modification,none,,,,,,,1 rigid;2 free;3 flexible;4 ?,,,Morphosyntax
