"original.names","new.name","short.name","description","original.features","design.logical","design.logical.statistical","modification.IDs","associated.modification.IDs.without.resulting.action","known.remaining.dependencies.after.statistical.treatment","suspected.but.untestable.dependencies","networks.of.dependencies","recode.operation.type","condition.human.readable","condition.if.feature.conditioned","first.priority.feature.if.merged","second.priority.feature.if.merged","third.priority.feature.if.merged","fourth.priority.feature.if.merged","recode.operation.Rcode","original.states","new.states","recode.pattern","domain"
"autotyp_GrammaticalMarkersPerLanguage_TenseMarkerHasMultipleExponents","o_autotyp_GrammaticalMarkersPerLanguage_TenseMarkerHasMultipleExponents","TLI0164","autotyp_GrammaticalMarkersPerLanguage: Tense Marker Has Multiple Exponents",TRUE,TRUE,TRUE,"","D-POV-047","","","fusional/agglutinative","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_LocusOfMarkingPerLanguage_HasDependentMarkingForP","o_autotyp_LocusOfMarkingPerLanguage_HasDependentMarkingForP","TLI0179","autotyp_LocusOfMarkingPerLanguage: Has Dependent Marking For P",TRUE,TRUE,TRUE,"","S-LOM-02;S-LOM-11;D-POV-042;D-POV-043;D-POV-044;D-POV-045;S-LOM-17","S-LOM-02;S-LOM-11","","head/dependent marking","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_LocusOfMarkingPerLanguage_HasDependentMarkingForPOSS","o_autotyp_LocusOfMarkingPerLanguage_HasDependentMarkingForPOSS","TLI0180","autotyp_LocusOfMarkingPerLanguage: Has Dependent Marking For POSS",TRUE,TRUE,TRUE,"","S-LOM-03;S-LOM-11;S-NPS-06;D-POV-042;D-POV-044;D-POV-023;D-POV-024;S-LOM-12-O;S-LOM-15-O;S-LOM-15-C;S-LOM-16;S-LOM-12-C","S-LOM-12-C;S-LOM-03;S-LOM-11;S-LOM-16;S-LOM-15-C","","head/dependent marking","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionAndAgreementCountsByPosition_InflectionMarkersAtSimulCount","o_autotyp_MaximallyInflectedVerbInflectionAndAgreementCountsByPosition_InflectionMarkersAtSimulCount","TLI0360","o_autotyp_MaximallyInflectedVerbInflectionAndAgreementCountsByPosition_InflectionMarkersAtSimulCount",TRUE,TRUE,TRUE,"","","","","fusional/agglutinative","include without modification","none","","","","","","","1 1;2 0;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryAktionsart","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryAktionsart","TLI0364","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Aktionsart",TRUE,TRUE,TRUE,"","D-POV-064","","","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryConnective","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryConnective","TLI0370","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Connective",TRUE,TRUE,TRUE,"","D-POV-064","","","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryConstruct","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryConstruct","TLI0371","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Construct",TRUE,TRUE,TRUE,"","D-POV-064","","","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryDeixis","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryDeixis","TLI0373","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Deixis",TRUE,TRUE,TRUE,"","D-POV-064","","","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryDirection","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryDirection","TLI0374","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Direction",TRUE,TRUE,TRUE,"","D-POV-064","","","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryFocus","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryFocus","TLI0376","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Focus",TRUE,TRUE,TRUE,"","D-POV-064","","","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryIllocution","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryIllocution","TLI0378","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Illocution",TRUE,TRUE,TRUE,"","D-POV-064","","","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryModality","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryModality","TLI0381","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Modality",TRUE,TRUE,TRUE,"","S-VIC-13-O;S-VIC-13-C;D-POV-064;S-SIP-03-O;S-SIP-03-C","S-VIC-13-C","","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryMotion","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryMotion","TLI0383","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Motion",TRUE,TRUE,TRUE,"","S-VIC-12-O;S-VIC-12-C;D-POV-064","","S-VIC-12-C","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryPolarity","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryPolarity","TLI0388","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Polarity",TRUE,TRUE,TRUE,"","D-POV-064","","","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryQuantificational","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryQuantificational","TLI0392","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Quantificational",TRUE,TRUE,TRUE,"","D-POV-064","","","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryRepetition","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategoryRepetition","TLI0398","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Repetition",TRUE,TRUE,TRUE,"","S-VIC-11-O;S-VIC-11-C;D-POV-064","","S-VIC-11-C","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategorySemistem","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategorySemistem","TLI0400","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Semistem",TRUE,TRUE,TRUE,"","D-POV-064","","","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategorySpatial","o_autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence_IsInflectedForCategorySpatial","TLI0401","autotyp_MaximallyInflectedVerbInflectionCategoriesAggregatedPresence: Is Inflected For Category Spatial",TRUE,TRUE,TRUE,"","D-POV-064","","","isolating/affixing","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbSynthesis_MaximallyInflectedVerbSynthesis_VerbHasBipartiteStem","o_autotyp_MaximallyInflectedVerbSynthesis_MaximallyInflectedVerbSynthesis_VerbHasBipartiteStem","TLI0430","autotyp_MaximallyInflectedVerbSynthesis: Verb Has Bipartite Stem",TRUE,TRUE,TRUE,"","S-MOR-20","","","fusional/agglutinative","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbSynthesis_MaximallyInflectedVerbSynthesis_VerbHasNounIncorporation","o_autotyp_MaximallyInflectedVerbSynthesis_MaximallyInflectedVerbSynthesis_VerbHasNounIncorporation","TLI0431","autotyp_MaximallyInflectedVerbSynthesis: Verb Has Noun Incorporation",TRUE,TRUE,TRUE,"","D-POV-058;S-SYN-06","","","isolating/affixing","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Morphosyntax"
"autotyp_MaximallyInflectedVerbSynthesis_MaximallyInflectedVerbSynthesis_VerbIsSyntacticallyCoherent","o_autotyp_MaximallyInflectedVerbSynthesis_MaximallyInflectedVerbSynthesis_VerbIsSyntacticallyCoherent","TLI0440","autotyp_MaximallyInflectedVerbSynthesis: Verb Is Syntactically Coherent",TRUE,TRUE,TRUE,"","D-POV-060;S-MOR-23","","","","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Morphosyntax"
"autotyp_MorphologyPerLanguage_HasAnyPolyexponenceForNouns","o_autotyp_MorphologyPerLanguage_HasAnyPolyexponenceForNouns","TLI0453","autotyp_MorphologyPerLanguage: Has Any Polyexponence For Nouns",TRUE,TRUE,TRUE,"","D-U100LGAC-11;D-POV-056;S-MOR-01-O;S-MOR-01-C;S-MOR-03;S-MOR-04-O;S-MOR-04-C;S-MOR-02","S-MOR-01-C","","fusional/agglutinative","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchContact","o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchContact","TLI0512","autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type MalchContact",TRUE,TRUE,TRUE,"","D-POV-062","","","predicate classes malchukovian semantics","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchEffectiveAction","o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchEffectiveAction","TLI0513","autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type MalchEffectiveAction",TRUE,TRUE,TRUE,"","D-POV-062","","","predicate classes malchukovian semantics","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchEmotion","o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchEmotion","TLI0514","autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type MalchEmotion",TRUE,TRUE,TRUE,"","D-POV-062","","","predicate classes malchukovian semantics","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchMotion","o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchMotion","TLI0515","autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type MalchMotion",TRUE,TRUE,TRUE,"","D-POV-062","","","predicate classes malchukovian semantics","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchPerceptionCognition","o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchPerceptionCognition","TLI0517","autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type MalchPerceptionCognition",TRUE,TRUE,TRUE,"","D-POV-062","","","predicate classes malchukovian semantics","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchPursuit","o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchPursuit","TLI0518","autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type MalchPursuit",TRUE,TRUE,TRUE,"","D-POV-062","","","predicate classes malchukovian semantics","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchSensation","o_autotyp_PredicateClassesSemanticsPerLanguage_HasPredicateClassWithVerbsOfTypeMalchSensation","TLI0519","autotyp_PredicateClassesSemanticsPerLanguage: Has Predicate Class With Verbs Of Type MalchSensation",TRUE,TRUE,TRUE,"","D-POV-062","","","predicate classes malchukovian semantics","include without modification","none","","","","","","","1 true;2 false;3 ?","","","Morphosyntax"
"lexibank_CommonSubstringInBoyAndGirl","o_lexibank_CommonSubstringInBoyAndGirl","TLI0549","Lexibank: Common Substring In Boy And Girl",TRUE,TRUE,TRUE,"","S-LEX-04","S-LEX-04","","","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_CommonSubstringInManAndWoman","o_lexibank_CommonSubstringInManAndWoman","TLI0552","Lexibank: Common Substring In Man And Woman",TRUE,TRUE,TRUE,"","S-LEX-04","S-LEX-04","","","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_ElbowAndKnee","o_lexibank_ElbowAndKnee","TLI0559","Lexibank: Elbow And Knee",TRUE,TRUE,TRUE,"","D-POV-008;S-LEX-09","","","body part colexifications","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_EyeInTear","o_lexibank_EyeInTear","TLI0560","Lexibank: Eye In Tear",TRUE,TRUE,TRUE,"","S-LEX-05","","","","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_HairAndFeather","o_lexibank_HairAndFeather","TLI0570","Lexibank: Hair And Feather",TRUE,TRUE,TRUE,"","","","","","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_HearAndSmell","o_lexibank_HearAndSmell","TLI0578","Lexibank: Hear And Smell",TRUE,TRUE,TRUE,"","","","","","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_LegAndFoot","o_lexibank_LegAndFoot","TLI0580","Lexibank: Leg And Foot",TRUE,TRUE,TRUE,"","S-LEX-10;S-LEX-13;S-LEX-16","S-LEX-10","S-LEX-16;S-LEX-13","body part colexifications","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_MouthInLip","o_lexibank_MouthInLip","TLI0582","Lexibank: Mouth In Lip",TRUE,TRUE,TRUE,"","S-LEX-03","S-LEX-03","","","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_SeeAndKnow","o_lexibank_SeeAndKnow","TLI0589","Lexibank: See And Know",TRUE,TRUE,TRUE,"","","","","","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_SkinInLip","o_lexibank_SkinInLip","TLI0592","Lexibank: Skin In Lip",TRUE,TRUE,TRUE,"","S-LEX-03","S-LEX-03","","","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_ThreeInEight","o_lexibank_ThreeInEight","TLI0596","Lexibank: Three In Eight",TRUE,TRUE,TRUE,"","S-LEX-15","","","","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_ThreeInThirteen","o_lexibank_ThreeInThirteen","TLI0597","Lexibank: Three In Thirteen",TRUE,TRUE,TRUE,"","S-LEX-15","","","","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_ToeAndFoot","o_lexibank_ToeAndFoot","TLI0598","Lexibank: Toe And Foot",TRUE,TRUE,TRUE,"","S-LEX-13;D-POV-014;S-LEX-17;S-LEX-08;S-LEX-11","S-LEX-11;S-LEX-17","S-LEX-13","body part colexifications","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"lexibank_WaterInTear","o_lexibank_WaterInTear","TLI0604","Lexibank: Water In Tear",TRUE,TRUE,TRUE,"","S-LEX-05","","","","include without modification","none","","","","","","","1 True;2 False;3 ?","","","Lexicon"
"PHOIBLE_BAF_aspirated_presence","o_PHOIBLE_BAF_aspirated_presence","TLI0608","Is aspiration present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-02","D-PHON-05;D-IV1AC-1","","","syllable structure/consonant inventory","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_breathyConsonants_presence","o_PHOIBLE_BAF_breathyConsonants_presence","TLI0612","Are breathy consonants present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-04b","","","","syllable structure/consonant inventory","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_breathyVowels_presence","o_PHOIBLE_BAF_breathyVowels_presence","TLI0613","Are breathy vowels present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-04a","","","","","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_coronalTrills_presence","o_PHOIBLE_BAF_coronalTrills_presence","TLI0615","Are coronal trills present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-20","S-PHO-40;S-PHO-42-O;S-PHO-44-O;S-PHO-42-C;S-PHO-44-C","S-PHO-40;S-PHO-42-C;S-PHO-44-C","","","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_creakyConsonants_presence","o_PHOIBLE_BAF_creakyConsonants_presence","TLI0616","Are creaky consonants present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-05b","S-PHO-13","S-PHO-13","","syllable structure/consonant inventory","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_creakyVowels_presence","o_PHOIBLE_BAF_creakyVowels_presence","TLI0617","Are creaky vowels present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-05a","S-PHO-16","S-PHO-16","","","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_glides_presence","o_PHOIBLE_BAF_glides_presence","TLI0621","Are glides present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-06","","","","","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_labializedConsonants_presence","o_PHOIBLE_BAF_labializedConsonants_presence","TLI0624","Are labialized consonants present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-12","S-PHO-19","","","syllable structure/consonant inventory","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_liquids_presence","o_PHOIBLE_BAF_liquids_presence","TLI0629","Are liquids present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-07","","","","syllable structure/consonant inventory","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_longConsonants_presence","o_PHOIBLE_BAF_longConsonants_presence","TLI0630","Are long consonants present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-08","","","","","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_longVowels_presence","o_PHOIBLE_BAF_longVowels_presence","TLI0631","Are long vowels present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-09","","","","","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_palatalAndPalatalizedObstruents_presence","o_PHOIBLE_BAF_palatalAndPalatalizedObstruents_presence","TLI0635","Are palatal or palatalized obstruents present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-13","S-PHO-21","","","syllable structure/consonant inventory","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_palatalAndPalatalizedSonorants_presence","o_PHOIBLE_BAF_palatalAndPalatalizedSonorants_presence","TLI0636","Are palatal or palatalized sonorants present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-14","D-PHON-02","","","syllable structure/consonant inventory","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_retroflexConsonants_presence","o_PHOIBLE_BAF_retroflexConsonants_presence","TLI0640","Are retroflex consonants present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-24","","","","","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"PHOIBLE_BAF_taps_presence","o_PHOIBLE_BAF_taps_presence","TLI0642","Are taps present (PHOIBLE only)?",TRUE,TRUE,TRUE,"D-PHOIBLEBAF-18","S-PHO-40;S-PHO-41-O;S-PHO-45-O;S-PHO-41-C;S-PHO-45-C","S-PHO-40;S-PHO-41-C;S-PHO-45-C","","syllable structure/consonant inventory","include without modification","none","","","","","","","1 TRUE;2 FALSE;3 ?","","","Phonology"
"WALS_107A Passive Constructions","o_WALS_107A","TLI0654","WALS: Passive Constructions",TRUE,TRUE,TRUE,"","","","","","include without modification","none","","","","","","","1 Present;2 Absent;3 ?","","","Morphosyntax"
