"modification.type","modification.ID","design.decision","expectation.tested","motivation.for.test","source","suspected.tendency.confirmed?","requires.statistically.motivated.action","logging.in.known.remaining.dependencies","relative.overlap.vsmall.in.vlarge.sufficient","sufficient.samples.applicable.for.test","passes.bell.test","passes.cohens.d","resulting.modification","relevant.variables","resulting.added.variables","is.added.variable.kept","resulting.removed.variables","variable.1.for.test","variable.2.for.test","test","v1.equals.for.test","v1.unequals.for.test","v2.equals.for.test","v2.unequals.for.test","nr.lgs.v1","nr.lgs.v2","absolute.overlap.v1.v2","relative.overlap.vsmall.in.vlarge","relative.overlap.vlarge.in.vsmall","samples.disregarded.insufficient.lgs.applicable","samples.assessed","mean.d1.across.tested.samples","sd.d1.across.tested.samples","mean.plus.sd.d1.across.tested.samples","mean.d2.across.tested.samples","sd.d2.across.tested.samples","mean.plus.sd.d2.across.tested.samples","mean.baseline.1","mean.baseline.2","d1.baseline1.cohensd","d2.baseline2.cohensd","maximum.sum","minimum.cohensd","minimum.sum","maximum.cohensd"
"statistical","S-APP-3",NA,"IF locative or directional applicative marker, THEN verbal affixes or clitics that turn intransitive verbs into transitive ones","Applicatives are valency changing mechanisms and they can turn intransitive verbs into transitive if applicable to intransitive verbs",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB108, GB113","NA","NA","NA","GB108","GB113","THEN","1","0","1","0",2105,1871,1727,0.923035809727418,0.820427553444181,500,500,0.23,0.05,0.28,NA,NA,NA,0.34,NA,2.4,NA,0.28,2.4,0.28,2.4
"statistical","S-APP-4",NA,"IF benefactive applicative marker THEN verbal affixes or clitics that turn intransitive verbs into transitive ones","Applicatives are valency changing mechanisms and they can turn intransitive verbs into transitive if applicable to intransitive verbs",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB103, GB113","NA","NA","NA","GB103","GB113","THEN","1","0","1","0",2048,1871,1704,0.910742918225548,0.83203125,500,500,0.25,0.06,0.31,NA,NA,NA,0.34,NA,1.8,NA,0.31,1.8,0.31,1.8
"statistical","S-APP-5",NA,"IF instrumental applicative marker THEN verbal affixes or clitics that turn intransitive verbs into transitive ones","Applicatives are valency changing mechanisms and they can turn intransitive verbs into transitive if applicable to intransitive verbs",NA,"no","no","no","yes","yes","no","no","NA","GB104, GB113","NA","NA","NA","GB104","GB113","THEN","1","0","1","0",1989,1871,1660,0.887226082308926,0.834590246354952,500,500,0.23,0.1,0.33,NA,NA,NA,0.34,NA,1.2,NA,0.33,1.2,0.33,1.2
"statistical","S-APP-6-C",NA,"IF locative or directional marking on the verb, THEN causatives formed by affixes or clitics on verbs (if verbal affixes or clitics that turn intransitive verbs into transitive ones)",NA,NA,"no","no","no","yes","yes","yes","no","NA","GB108, GB155C","NA","NA","NA","GB108","GB155C","THEN","1","0","1","0",2105,1269,1154,0.909377462568952,0.548218527315914,500,500,0.1,0.05,0.15,NA,NA,NA,0.09,NA,0.3,NA,0.15,0.3,0.15,0.3
"statistical","S-APP-6-O",NA,"IF locative or directional marking on the verb, THEN causatives formed by affixes or clitics on verbs","Causatives are more common than applicatives, so we expect applicatives to be a later addition to the set of valence changing operations",NA,"this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also","no","yes","yes","yes","no","yes","NA","GB108, GB155","NA","NA","NA","GB108","GB155","THEN","1","0","1","0",2105,2051,1838,0.896148220380302,0.873159144893112,500,500,0.24,0.05,0.29,NA,NA,NA,0.3,NA,1.5,NA,0.29,1.5,0.29,1.5
"statistical","S-APP-7a-C",NA,"IF benefactive applicative marker THEN causatives formed by affixes or clitics on verbs (if verbal affixes or clitics that turn intransitive verbs into transitive ones)",NA,NA,"no","no","no","yes","yes","yes","no","NA","GB103, GB155C","NA","NA","NA","GB103","GB155C","THEN","1","0","1","0",2048,1269,1146,0.903073286052009,0.5595703125,500,500,0.13,0.06,0.19,NA,NA,NA,0.09,NA,0.9,NA,0.19,0.9,0.19,0.9
"statistical","S-APP-7a-O",NA,"IF benefactive applicative marker THEN causatives formed by affixes or clitics on verbs","Causatives are more common than applicatives, so we expect applicatives to be a later addition to the set of valence changing operations",NA,"this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also","no","yes","yes","yes","no","yes","NA","GB103, GB155","NA","NA","NA","GB103","GB155","THEN","1","0","1","0",2048,2051,1824,0.890625,0.889322281813749,500,500,0.23,0.06,0.29,NA,NA,NA,0.3,NA,1.5,NA,0.29,1.5,0.29,1.5
"statistical","S-APP-7b-C",NA,"IF NO causatives formed by affixes or clitics on verbs (if verbal affixes or clitics that turn intransitive verbs into transitive ones) THEN NO benefactive applicative marker",NA,NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB103, GB155C","NA","NA","NA","GB155C","GB103","THEN","0","1","0","1",1269,2048,1146,0.903073286052009,0.5595703125,503,497,0.67,0.23,0.9,NA,NA,NA,0.37,NA,1.3,NA,0.9,1.3,0.9,1.3
"statistical","S-APP-7b-O",NA,"IF NO causatives formed by affixes or clitics on verbs THEN NO benefactive applicative marker","Causatives are the most common way of adding an argument, and applicatives are less common. Thus, if a language lacks the common argument-adding morphological strategy (a morphological causative), then it is unlikely to have the less common argument-adding morphological strategy (a morphological applicative)",NA,"this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also","no","yes","yes","yes","no","yes","NA","GB103, GB155","NA","NA","NA","GB155","GB103","THEN","0","1","0","1",2051,2048,1824,0.890625,0.889322281813749,500,500,0.28,0.07,0.35,NA,NA,NA,0.37,NA,1.5,NA,0.35,1.5,0.35,1.5
"statistical","S-APP-8-C",NA,"IF NO causatives formed by affixes or clitics on verbs (if verbal affixes or clitics that turn intransitive verbs into transitive ones) THEN NO instrumental applicative marker",NA,NA,"no","no","no","yes","yes","no","no","NA","GB104, GB155C","NA","NA","NA","GB155C","GB104","THEN","0","1","0","1",1269,1989,1107,0.872340425531915,0.556561085972851,513,487,0.2,0.21,0.41,NA,NA,NA,0.15,NA,0.2,NA,0.41,0.2,0.41,0.2
"statistical","S-APP-8-O",NA,"IF NO causatives formed by affixes or clitics on verbs THEN NO instrumental applicative marker","Causatives are more common than applicatives, so we expect applicatives to be a later addition to the set of valence changing operations.",NA,"this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also","yes","yes","yes","yes","yes","yes","NA","GB104, GB155","NA","NA","NA","GB155","GB104","THEN","0","1","0","1",2051,1989,1776,0.892911010558069,0.865919063871282,500,500,0.08,0.05,0.12,NA,NA,NA,0.15,NA,1.7,NA,0.12,1.7,0.12,1.7
"statistical","S-ART-1",NA,"IF indefinite article, THEN definite article","cf Becker 2021, Chapter 9","becker2021articles","yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB021c, GB020c","NA","NA","NA","GB021c","GB020c","THEN","1","0","1","0",951,999,924,0.971608832807571,0.924924924924925,500,500,0.35,0.14,0.48,NA,NA,NA,0.2,NA,1.3,NA,0.48,1.3,0.48,1.3
"statistical","S-ART-2",NA,"prenominal article XOR postnominal article","Most of the time we expect all articles to be in the same position in a language, cf category clustering (Mansfield et al., 2020)","mansfield2020category","yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB023c, GB022c","NA","NA","NA","GB023c","GB022c","XOR","1","0","1","0",1005,1004,984,0.9800796812749,0.97910447761194,500,500,0.21,0.08,0.29,0.2,0.07,0.27,0.44,0.45,1.7,2.1,0.29,1.7,0.27,2.1
"statistical","S-ATT-1",NA,"IF attributes behave as verbs when used attributively, THEN they behave as verbs when used predicatively","We expect attributives to have consistent part-of-speech properties, but we also expect when many parts of speech are used predicatively, they acquire verbal properties. Thus, verbal properties in an attributive position should imply verbal properties in a predicative position.",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB069, GB068","NA","NA","NA","GB069","GB068","THEN","1","0","1","0",1858,1949,1678,0.903121636167923,0.860954335556696,500,500,0.14,0.07,0.21,NA,NA,NA,0.56,NA,6,NA,0.21,6,0.21,6
"statistical","S-ATT-2",NA,"IF adnominal property words can be discontinuous THEN morphological case","The GB026 chapter description details that languages that allow for discontinuous adnominal property words typically show extensive agreement systems, which can be expressed by gender and/or mophological case",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB026, GB480m","NA","NA","NA","GB026","GB480m","THEN","1","0","1","0",1771,2246,1700,0.95990965556183,0.756901157613535,500,500,0.41,0.11,0.52,NA,NA,NA,0.24,NA,1.6,NA,0.52,1.6,0.52,1.6
"statistical","S-ATT-3-C",NA,"IF adnominal property words can be discontinuous THEN gender (conditioned on number)",NA,NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB026, GB551mC","NA","NA","NA","GB026","GB551mC","THEN","1","0","1","0",1771,2054,1545,0.872388481084133,0.752190847127556,500,500,0.16,0.11,0.27,NA,NA,NA,0.49,NA,2.9,NA,0.27,2.9,0.27,2.9
"statistical","S-ATT-3-O",NA,"IF adnominal property words can be discontinuous THEN gender","The GB026 chapter description details that languages that allow for discontinuous adnominal property words typically show extensive agreement systems, which can be expressed by gender and/or mophological case",NA,"this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also","no","yes","yes","yes","no","yes","NA","GB026, GB551m","NA","NA","NA","GB026","GB551m","THEN","1","0","1","0",1771,2054,1545,0.872388481084133,0.752190847127556,500,500,0.16,0.11,0.27,NA,NA,NA,0.49,NA,2.9,NA,0.27,2.9,0.27,2.9
"statistical","S-ATT-4",NA,"IF adnominal property words can be discontinuous THEN adnominal property word can agree with the noun at all (in gender/noun class and/or number)","The GB026 chapter description details that languages that allow for discontinuous adnominal property words typically show extensive agreement systems, which can be expressed by gender and/or mophological case and/or number",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB026, GB567drm","NA","NA","NA","GB026","GB567drm","THEN","1","0","1","0",1771,1941,1512,0.853754940711462,0.778979907264297,500,500,0.25,0.14,0.39,NA,NA,NA,0.54,NA,2.2,NA,0.39,2.2,0.39,2.2
"statistical","S-CAS-01",NA,"IF non-pronominal case for arguments, THEN pronominal case for arguments","Many languages have morphological case only for pronouns, while having morphological case only for nouns is rare","comrie1989language[131]","yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB553drmc, GB549drmc","GB553drmcC","yes","GB553drmc","GB553drmc","GB549drmc","THEN","1","0","1","0",1480,1424,1382,0.970505617977528,0.933783783783784,500,500,0.11,0.03,0.14,NA,NA,NA,0.09,NA,2.5,NA,0.14,2.5,0.14,2.5
"statistical","S-CAS-02",NA,"IF case for core arguments THEN case for oblique arguments","Many languages have morphological case only for oblique arguments. Having morphological case only for core arguments is rare","wals49","yes, modification","yes","yes","yes","yes","yes","yes","statistically motivated conditioning (conservative)","GB888drmc, GB887drmc","GB888drmcC","yes","GB888drmc","GB888drmc","GB887drmc","THEN","1","0","1","0",1480,1464,1422,0.971311475409836,0.960810810810811,500,500,0.08,0.03,0.1,NA,NA,NA,0.06,NA,2.5,NA,0.1,2.5,0.1,2.5
"statistical","S-CLA-1",NA,"IF demonstrative classifiers, THEN numeral classifiers","Numeral classifiers are the most common type of classifier",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB038c, GB057c","NA","NA","NA","GB038c","GB057c","THEN","1","0","1","0",519,552,516,0.994219653179191,0.934782608695652,503,497,0.32,0.23,0.54,NA,NA,NA,0.08,NA,1.3,NA,0.54,1.3,0.54,1.3
"statistical","S-CLA-2-C",NA,"classifiers XOR nominal gender (conditioned on number)",NA,NA,"yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB552m, GB551mC","NA","NA","NA","GB552m","GB551mC","XOR","1","0","1","0",2062,2054,1812,0.882181110029211,0.878758486905917,500,500,0.42,0.1,0.52,0.15,0.05,0.2,0.49,0.82,0.5,9.6,0.52,0.5,0.2,9.6
"statistical","S-CLA-2-O",NA,"classifiers XOR nominal gender",NA,"corbett1991gender[137]","this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also","no","yes","yes","yes","no","no","NA","GB552m, GB551m","NA","NA","NA","GB552m","GB551m","XOR","1","0","1","0",2062,2054,1812,0.882181110029211,0.878758486905917,500,500,0.42,0.1,0.52,0.15,0.05,0.2,0.49,0.82,0.5,9.6,0.52,0.5,0.2,9.6
"statistical","S-CLU-1",NA,"clause chaining XOR serial verb construction","Serial verb constructions are defined in Grambank as only coordinating the verb, while clause chaining coordinates clauses. We expect most languages to have one strategy or the other",NA,"yes, but only for one of the XOR dimensions, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB150, GB118","NA","NA","NA","GB150","GB118","XOR","1","0","1","0",1519,1590,1242,0.817643186306781,0.781132075471698,500,500,0.46,0.11,0.56,0.32,0.09,0.41,0.6,0.72,1.1,3.5,0.56,1.1,0.41,3.5
"statistical","S-COP-01",NA,"IF verb-initial THEN no copula",NA,"carnie1995non","yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB131, GB117","NA","NA","NA","GB131","GB117","THEN","1","0","0","1",2348,2029,1970,0.970921636274027,0.839011925042589,500,500,0.3,0.1,0.39,NA,NA,NA,0.54,NA,2.7,NA,0.39,2.7,0.39,2.7
"statistical","S-CPA-1a-C",NA,"surpass/exceed XOR locational (corresponding state from merged variable)",NA,NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB265, GB900OM","NA","NA","NA","GB265","GB900OM","XOR","1","0","marker of standard with elsewhere locational meaning","neither, conjoined clauses",1283,1196,1136,0.949832775919732,0.885424785658613,500,500,0.15,0.11,0.25,0.09,0.07,0.16,0.65,0.77,3.8,7.1,0.25,3.8,0.16,7.1
"statistical","S-CPA-1a-O",NA,"surpass/exceed XOR locational","Single strategy may be expected",NA,"this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also.","no","yes","yes","yes","no","yes","NA","GB265, GB266","NA","NA","NA","GB265","GB266","XOR","1","0","1","0",1283,1252,1203,0.960862619808307,0.937646141855027,500,500,0.16,0.11,0.26,0.1,0.07,0.17,0.64,0.77,3.7,6.8,0.26,3.7,0.17,6.8
"statistical","S-CPA-1b",NA,"surpass/exceed XOR standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning","Single strategy may be expected",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB265, GB273","NA","NA","NA","GB265","GB273","XOR","1","0","1","0",1283,1239,1196,0.965294592413236,0.932190179267342,500,500,0.18,0.1,0.28,0.11,0.06,0.18,0.66,0.77,3.6,6.9,0.28,3.6,0.18,6.9
"statistical","S-CPA-1c-C",NA,"comparative construction that employs a marker of the standard which elsewhere has a locational meaning (corresponding state from merged variable) XOR comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning",NA,NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB900OM, GB273","NA","NA","NA","GB900OM","GB273","XOR","marker of standard with elsewhere locational meaning","neither, conjoined clauses","1","0",1196,1239,1129,0.943979933110368,0.911218724778047,500,500,0.16,0.07,0.23,0.18,0.08,0.26,0.66,0.65,4.7,4,0.26,4,0.23,4.7
"statistical","S-CPA-1c-O",NA,"comparative construction that employs a marker of the standard which elsewhere has a locational meaning XOR comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning","Single strategy may be expected",NA,"this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also.","no","yes","yes","yes","no","yes","NA","GB266, GB273","NA","NA","NA","GB266","GB273","XOR","1","0","1","0",1252,1239,1195,0.964487489911219,0.954472843450479,500,500,0.16,0.07,0.23,0.17,0.08,0.25,0.66,0.64,4.8,4.2,0.25,4.2,0.23,4.8
"statistical","S-CPA-2",NA,"bound degree marker XOR non-bound degree marker","Single strategy may be expected",NA,"yes, modification","yes","yes","yes","yes","yes","yes","merging, exclusion of both and neither (variable1 vs. variable2)","GB275c, GB276c","GB800OM","yes","GB275c, GB276c","GB275c","GB276c","XOR","1","0","1","0",631,636,613,0.971473851030111,0.963836477987421,500,500,0.1,0.08,0.18,0.08,0.07,0.15,0.4,0.52,2.2,3.5,0.18,2.2,0.15,3.5
"statistical","S-CPA-4",NA,"comparative degree marker on property word XOR comparative construction with form elsewhere meaning surpass/exceed","We expect the degree notion to be expressed once in a comparative construction. Of course, it is possible for a language to have multiple comparison constructions, and in this case, the association would be weakened.",NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB800m, GB265","NA","NA","NA","GB800m","GB265","XOR","1","0","1","0",1304,1283,1204,0.938425565081839,0.923312883435583,500,500,0.17,0.07,0.25,0.35,0.12,0.47,0.77,0.53,5.6,1.2,0.47,1.2,0.25,5.6
"statistical","S-CPA-5",NA,"comparative construction with form elsewhere meaning locational XOR conjoined","different states in WALS chapter 121","wals121","yes, modification","yes","yes","yes","yes","yes","yes","merging, exclusion of both (neither vs. variable1 vs. variable2)","GB266, GB270","GB900OM","yes","GB266, GB270","GB266","GB270","XOR","1","0","1","0",1252,1219,1157,0.949138638228056,0.924121405750799,500,500,0.06,0.05,0.11,0.1,0.08,0.18,0.79,0.64,9.7,5.1,0.18,5.1,0.11,9.7
"statistical","S-CPA-6-C",NA,"comparative construction with form elsewhere meaning neither locational nor surpass/exceed XOR conjoined  (corresponding state from merged variable)",NA,NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB273, GB900OM","NA","NA","NA","GB273","GB900OM","XOR","1","0","conjoined clauses","neither, marker of standard with elsewhere locational meaning",1239,1196,1129,0.943979933110368,0.911218724778047,500,500,0.1,0.07,0.17,0.16,0.11,0.27,0.81,0.66,7.7,3.8,0.27,3.8,0.17,7.7
"statistical","S-CPA-6-O",NA,"comparative construction with form elsewhere meaning neither locational nor surpass/exceed XOR conjoined","different states in WALS chapter 121","wals121","this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also.","no","yes","yes","yes","no","yes","NA","GB273, GB270","NA","NA","NA","GB273","GB270","XOR","1","0","1","0",1239,1219,1149,0.942575881870386,0.927360774818402,500,500,0.1,0.07,0.17,0.16,0.1,0.27,0.79,0.66,7.4,3.9,0.27,3.9,0.17,7.4
"statistical","S-CPA-7-C",NA,"comparative construction with form elsewhere meaning surpass/exceed XOR conjoined (corresponding state from merged variable)",NA,NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","yes","tendency logged in known.remaining.dependencies","GB265, GB900OM","NA","NA","NA","GB265","GB900OM","XOR","1","0","conjoined clauses","neither, marker of standard with elsewhere locational meaning",1283,1196,1136,0.949832775919732,0.885424785658613,500,500,0.11,0.09,0.2,0.13,0.1,0.23,0.81,0.77,6.4,5.1,0.23,5.1,0.2,6.4
"statistical","S-CPA-7-O",NA,"comparative construction with form elsewhere meaning surpass/exceed XOR conjoined","different states in WALS chapter 121","wals121","this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also.","no","yes","yes","yes","no","yes","NA","GB265, GB270","NA","NA","NA","GB265","GB270","XOR","1","0","1","0",1283,1219,1169,0.958982772764561,0.911145752143414,500,500,0.14,0.09,0.23,0.14,0.1,0.24,0.79,0.77,5.6,5,0.24,5,0.23,5.6
"statistical","S-CPA-8-C",NA,"conparative degree marker on property word XOR conjoined (corresponding state from merged variable)",NA,NA,"yes, tendency logged in known.remaining.dependencies","no","yes","yes","yes","no","no","tendency logged in known.remaining.dependencies","GB800m, GB900OM","NA","NA","NA","GB800m","GB900OM","XOR","1","0","conjoined clauses","neither, marker of standard with elsewhere locational meaning",1304,1196,1129,0.943979933110368,0.86579754601227,500,500,0.15,0.07,0.22,0.36,0.14,0.5,0.81,0.53,6.6,1,0.5,1,0.22,6.6
"statistical","S-CPA-8-O",NA,"conparative degree marker on property word XOR conjoined","different states in WALS chapter 121","wals121","this test involves a variable that is modified due to statistical conditioning; the corresponding test with the conditioned variable is performed also.","no","yes","yes","yes","no","no","NA","GB800m, GB270","NA","NA","NA","GB800m","GB270","XOR","1","0","1","0",1304,1219,1156,0.948318293683347,0.886503067484663,500,500,0.18,0.07,0.26,0.41,0.14,0.55,0.79,0.53,5.7,0.7,0.55,0.7,0.26,5.7
"statistical","S-CPD-1",NA,"IF verb compounding, THEN serial verb constructions","Verb compounding is sometimes called a serial verb construction, and the two can be easily confused. In addition, serial verbs can diachronically lead to verb compounding, so we expect a correlation",NA,"no","no","no","yes","yes","no","no","NA","GB122, GB118","NA","NA","NA","GB122","GB118","THEN","1","0","1","0",1623,1590,1269,0.79811320754717,0.7818853974122,500,500,0.63,0.08,0.71,NA,NA,NA,0.6,NA,0.6,NA,0.71,0.6,0.71,0.6
