"","glottocode","TLI0549","TLI0552","TLI0559","TLI0560","TLI0570","TLI0578","TLI0580","TLI0582","TLI0589","TLI0592","TLI0596","TLI0597","TLI0598","TLI0604","TLI0860","TLI0891","TLI0892","TLI0893","TLI0958","TLI0959","TLI1044","TLI1083","TLI1099","TLI1100","TLI1101","TLI1102","TLI1112"
"411","bezh1248","False","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","?","?","?","TRUE","?","?","?","FALSE","FALSE","FALSE","?"
"418","biao1254","?","?","?","False","True","False","False","?","False","?","False","False","?","True","?","False","False","?","?","?","?","?","?","FALSE","TRUE","FALSE","?"
"431","bila1257","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"437","bilu1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","False","?","?","?","?","?","?","?","?","?"
"446","biri1256","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"454","biwa1243","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"455","biyo1244","True","False","?","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"457","blag1240","?","False","?","False","False","False","?","False","False","False","False","True","?","True","?","False","False","?","?","?","?","?","?","?","TRUE","FALSE","Neither"
"460","boga1247","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"461","boga1251","True","True","?","?","?","False","?","False","False","False","False","False","?","?","?","True","False","?","?","?","?","?","?","?","FALSE","FALSE","Neither"
"462","bogh1241","True","False","?","?","?","True","?","True","False","True","False","False","?","?","?","True","False","?","?","?","?","?","?","?","?","?","Neither"
"465","boko1266","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","?","?","?","TRUE","?","?","FALSE","FALSE","?","?","?"
"473","bond1248","?","False","False","?","?","?","True","?","?","?","False","?","?","?","?","True","False","?","?","?","?","?","?","FALSE","?","FALSE","?"
"477","bora1263","?","True","False","?","False","False","False","False","False","False","?","?","False","?","?","False","?","?","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"479","bord1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","TRUE","FALSE","?"
"484","boru1252","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","TRUE","FALSE","?","?","?"
"489","brah1256","?","?","?","?","?","?","?","?","?","?","?","?","?","?","decimal","?","?","?","TRUE","TRUE","first/one-th, two-th, three-th","?","?","?","?","?","?"
"491","bret1244","False","False","False","False","False","True","False","False","False","False","False","?","False","False","?","False","True","False","TRUE","?","first, second, three-th","?","FALSE","FALSE","FALSE","FALSE","Neither"
"492","brib1243","?","?","?","?","?","?","?","?","?","?","?","?","?","?","decimal","False","False","False","?","?","?","?","?","?","?","?","?"
"502","bugl1243","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","FALSE","FALSE","?"
"508","buku1249","?","?","False","False","False","False","?","False","False","False","False","?","?","False","?","?","?","False","?","?","?","?","?","?","?","?","Neither"
"510","bulg1262","True","False","False","False","False","False","True","False","False","False","False","?","False","False","?","?","?","True","TRUE","TRUE","first, second, three-th","logical meanings","TRUE","FALSE","FALSE","FALSE","Neither"
"519","buna1275","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","?","?","FALSE","TRUE","?","?","?"
"522","bung1264","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","?","?"
"523","buno1241","?","?","?","?","?","?","True","?","?","?","False","?","?","?","?","True","False","?","?","?","?","?","?","FALSE","?","?","Neither"
"527","bura1292","True","False","?","?","?","True","?","False","False","False","False","False","?","?","?","False","True","?","?","TRUE","?","?","?","?","FALSE","FALSE","Neither"
"529","buri1258","False","False","False","False","False","False","False","False","False","False","False","?","False","False","?","False","False","?","?","?","?","?","TRUE","FALSE","FALSE","FALSE","Neither"
"532","buru1296","False","False","?","?","False","False","?","False","False","False","False","?","?","?","vigesimal","?","?","False","TRUE","TRUE","first, two-th, three-th","?","FALSE","FALSE","?","FALSE","Neither"
"546","cabe1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","TRUE","FALSE","?","?","?"
"548","caca1247","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"549","cacu1241","?","False","False","?","False","False","False","True","False","False","?","?","False","?","?","True","?","?","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"551","cahu1264","?","?","?","?","?","?","?","?","?","?","?","?","?","?","decimal","?","?","False","TRUE","TRUE","first/one-th, two-th, three-th","?","TRUE","TRUE","TRUE","FALSE","?"
"559","cams1241","?","False","False","?","False","False","False","False","False","False","?","?","False","?","?","True","?","?","?","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither"
"560","cand1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","?","?","?","?","?","?","FALSE","FALSE","?"
"565","cara1272","?","False","False","?","True","False","False","False","False","False","?","?","False","?","?","True",NA,"?","?","?","?","?","FALSE","FALSE","?","FALSE","TreeInBark"
"567","cari1279","?","False","False","?","False","False","False","True","False","True","?","?","True","?","?","False","?","?","?","?","?","?","FALSE","TRUE","?","FALSE","TreeInBark"
"576","cavi1250","True","False","?","?","False","False","?","True","False","False","False","?","False","?","?","?","?","False","?","?","?","?","FALSE","FALSE","TRUE","FALSE","BarkAndSkin"
"578","cayu1262","?","?","?","?","?","?","?","?","?","?","?","?","?","?","decimal","?","?","False","FALSE","TRUE",NA,"?","?","?","?","?","?"
"581","cent1394","?","?","?","True","True","False","False","?","False","?","False","True","?","False","?","True","True","?","?","?","?","?","?","FALSE","TRUE","FALSE","?"
"586","cent2009","?","False","False","?","True","False","False","?","?","?","False","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","?","FALSE","?"
"588","cent2050","False","False","?","?","True","False","?","False","False","False","False","?","False","?","decimal","?","?","?","TRUE","?","first/one-th, two-th, three-th","?","TRUE","FALSE","?","FALSE","Neither"
"596","cent2128","True","False","?","False","False","False","False","False","?","?","False","?","False","?","?","False","False","False","?","?","?","?","FALSE","FALSE","TRUE","FALSE","?"
"597","cent2131","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","TRUE","TRUE","?"
"602","cent2142","False","False","?","?","False","False","?","False","False","False","True","?","False","?","decimal","?","?","False","TRUE","?","first, two, three","?","TRUE","FALSE","FALSE","FALSE","Neither"
"604","cent2150","?","False","False","?","True","False","False","False","True","True","?","?","False","?","?","False","?","?","?","?","?","?","FALSE","FALSE","?","FALSE","BarkAndSkin"
"609","chac1249","?","False","?","?","False","False","?","?","False","?","?","?","False","?","?","?","?","?","?","?","?","?","TRUE","FALSE","TRUE","FALSE","?"
"616","cham1313","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"625","chay1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","?","?","?","?","FALSE","TRUE","TRUE","FALSE","?"
"635","chew1245","?","False","False","True","True","False","?","True","False","True","False","?","False","True","?","True","True","?","?","?","?","?","?","FALSE","FALSE","FALSE","Neither"
"640","chic1270","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","?","?","?"
"646","chim1301","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"647","chim1302","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","?","first/one-th, two-th, three-th","?","FALSE","FALSE","?","?","?"
"648","chim1309","?","False","True","?","False","False","False","True","False","False","?","?","False","?","?","False","?","?","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"654","chip1262","False","True","?","?","False","False","?","False","False","False","False","?","False","?","?","?","?","False","?","?","?","?","?","FALSE","FALSE","FALSE","Neither"
"655","chiq1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","?","FALSE","FALSE","?"
"657","chiq1250","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","?","first, two-th, three-th","?","FALSE","FALSE","TRUE","FALSE","?"
"661","choc1276","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"663","chok1243","True","False","?","?","?","?","False","?","False","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","FALSE","?","FALSE","?"
"670","chor1274","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"671","chua1248","?","?","?","True","True","False","False","?","False","?","False","True","?","False","?","True","False","?","?","?","?","?","?","FALSE","FALSE","FALSE","?"
"673","chug1252","?","False","False","?","True","?","?","?","False","?","False","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","?","FALSE","BarkAndSkin"
"680","ciba1236","False","False","?","?","?","False","?","False","False","False","False","True","?","?","?","True","True","?","?","?","?","?","?","?","FALSE","FALSE","Neither"
"682","cine1238","False","False","?","?","?","False","?","False","False","False","False","False","?","?","?","False","False","?","?","?","?","?","?","?","FALSE","FALSE","Neither"
"686","clas1254","False","False","False","False","True","False","True","True","False","False","?","?","False","False","?","?","?","?","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"694","coco1261","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","TRUE","?","?","?"
"696","cofa1242","True","False","?","?","True","False","?","True","False","False","True","?","False","?","?","?","?","True","?","?","?","?","TRUE","FALSE","TRUE","FALSE","BarkAndSkin"
"697","cogu1240","?","False","False","?","True","False","False","True","False","False","?","?","False","?","?","False","?","?","TRUE","?","?","?","FALSE","FALSE","?","TRUE","Neither"
"699","colo1256","?","False","False","?","False","False","True","False","False","False","?","?","False","?","?","False","?","?","?","?","?","?","TRUE","FALSE","TRUE","FALSE","BarkAndSkin"
"701","coma1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","decimal","?","?","False","?","TRUE","?","?","FALSE","FALSE","?","?","?"
"703","come1251","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","TRUE","?","?","?"
"706","copa1236","?","False","?","?","False","False","?","False","False","False","False","?","False","?","vigesimal","?","?","False","?","?","?","?","?","FALSE","TRUE","FALSE","Neither"
"715","cree1270","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"717","croa1245","True","False","False","False","False","False","True","False","False","False","False","?","False","False","?","False","True","False","?","?","?","?","TRUE","FALSE","FALSE","FALSE","Neither"
"721","cube1242","?","True","False","?","True","False","False","False","False","False","?","?","False","?","?","True",NA,"?","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"722","cuib1242","?","False","False","?","False","False","False","False","False","False","?","?","False","?","?","False","?","?","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"724","cuit1236","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"725","culi1244","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","?","?","?","?","TRUE","FALSE","?"
"726","curr1243","?","False","False","?","False","False","False","True","False","False","?","?","False","?","?","False","?","?","?","?","?","?","FALSE","FALSE","?","FALSE","TreeInBark"
"734","daga1272","False","False","?","?","?","?","?","False","False","False","False","True","?","?","?","False","False","?","?","?","?","?","?","?","?","?","Neither"
"740","dakp1242","?","False","False","?","?","?","?","?","False","?","False","?","?","?","?","False","False","False","?","?","?","?","?","FALSE","?","FALSE","?"
"746","dani1285","False","False","False","False","False","False","False","False","False","False","False","?","False","False","vigesimal","?","?","True","TRUE","?","first, second, three-th","affective meanings","FALSE","FALSE","FALSE","FALSE","Neither"
"751","darg1241","False","False","False","False","False","False","True","False","False","False","False","?","False","False","?","False","False","?","?","TRUE","?","?","TRUE","FALSE","FALSE","FALSE","Neither"
"754","darl1243","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","FALSE","TRUE","?","FALSE","?"
"757","dass1243","True","False","?","?","?","True","?","False","False","False","False","True","?","?","?","True","False","?","?","?","?","?","?","?","?","FALSE","Neither"
"776","dera1248","True","False","?","?","?","True","?","False","False","False","False","True","?","?","?","True","False","False","?","?","?","?","?","?","?","?","TreeInBark"
"777","desa1247","?","False","?","?","False","False","False","False","False","False","?","?","False","?","?","True",NA,"?","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"778","dewo1238","False","False","False","?","?","?","False","?","?","?","False","False","False","?","?","True","True","?","?","?","?","?","FALSE","FALSE","?","?","?"
"779","dghw1239","True","False","?","?","?","False","?","False","False","False","False","False","?","?","?","False","False","False","?","?","?","?","?","?","FALSE","FALSE","Neither"
"780","dhal1245","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","True","False",NA,"?","?","?","?","?","?","?","?","?"
"782","dhan1270","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","?","?","?","FALSE","?"
"789","dhuw1249","?","False","False","?","?","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","FALSE","?","?","FALSE","?"
"790","dibi1240","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"793","didi1258","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","?"
"794","dido1241","False","False","False","False","False","False","False","False","False","?","False","?","False","False","vigesimal","True","False","False","?","?","?","logical meanings","FALSE","FALSE","FALSE","FALSE","?"
"795","dier1241","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","FALSE","?","?","FALSE","?"
"800","dima1251","True","False","False","?","False","False","False","True","False","False","?","?","False","?","?","True","False","?","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"801","dima1252","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"803","dime1235","False","False","?","?","?","False","?","?","False","?","False","?","False","?","?","?","?","False","?","?","?","?","?","FALSE","FALSE","FALSE","?"
"804","dimi1244","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","True","False","?","?","?","?","?","?","?","?","FALSE","?"
"809","diri1252","?","?","False","False","False","?","?","False","False","False","True","?","?","False","?","?","?","False","?","?","?","?","?","?","?","?","Neither"
"810","diri1259","False","False","?","?","?","True","?","False","False","False","False","False","?","?","?","True","False","?","?","?","?","?","?","?","?","FALSE","Neither"
"818","djam1256","?","False","False","?","?","False","False","?","False","?","?","?","?","?","?","True","False",NA,"?","?","?","?","?","?","?","FALSE","?"
