"","ID","Parameter_ID","Name","Description","Number","icon"
"32","7A-6","7A","Ejectives and glottalized resonants","Ejectives and glottalized resonants",6,"d0000dd"
"33","7A-7","7A","Implosives and glottalized resonants","Implosives and glottalized resonants",7,"ddd0000"
"34","7A-8","7A","Ejectives, implosives, and glottalized resonants","Ejectives, implosives and glottalized resonants",8,"d990099"
"35","8A-1","8A","No laterals","No laterals",1,"cffffff"
"36","8A-2","8A","/l/, no obstruent laterals","/l/, no obstruent laterals",2,"c0000dd"
"37","8A-3","8A","Laterals, but no /l/, no obstruent laterals","Laterals, but no /l/, no obstruent lateral",3,"cffff00"
"38","8A-4","8A","/l/ and lateral obstruent","/l/ and lateral obstruents",4,"c990099"
"39","8A-5","8A","No /l/, but lateral obstruents","No /l/, but lateral obstruents",5,"cdd0000"
"40","9A-1","9A","Initial velar nasal","Velar nasal, also initially",1,"cdd0000"
"41","9A-2","9A","No initial velar nasal","Velar nasal, but not initially",2,"cff66ff"
"42","9A-3","9A","No velar nasal","No velar nasal",3,"cffffff"
"43","10A-1","10A","Contrast present","Contrastive nasal vowels present",1,"cdd0000"
"44","10A-2","10A","Contrast absent","Contrastive nasal vowels absent",2,"cffffff"
"45","10B-1","10B","no nasal vs. oral vowel contrast","no nasal vs. oral vowel contrast",1,"cffffff"
"46","10B-2","10B","two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading","two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading",2,"ddd0000"
"47","10B-3","10B","two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) with nasal spreading","two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) with nasal spreading",3,"cdd0000"
"48","10B-4","10B","four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ vs. /Vː/) without nasal spreading","four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ vs. /Vː/) without nasal spreading",4,"d0000dd"
"49","10B-5","10B","four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ v /Vː/) with nasal spreading","four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ v /Vː/) with nasal spreading",5,"c0000dd"
"50","11A-1","11A","None","None",1,"cffffff"
"51","11A-2","11A","High and mid","High and mid",2,"c990099"
"52","11A-3","11A","High only","High only",3,"cdd0000"
"53","11A-4","11A","Mid only","Mid only",4,"c0000dd"
"54","12A-1","12A","Simple","Simple syllable structure",1,"cffffff"
"55","12A-2","12A","Moderately complex","Moderately complex syllable structure",2,"cff66ff"
"56","12A-3","12A","Complex","Complex syllable structure",3,"cdd0000"
"57","13A-1","13A","No tones","No tones",1,"cffffff"
"58","13A-2","13A","Simple tone system","Simple tone system",2,"cff66ff"
"59","13A-3","13A","Complex tone system","Complex tone system",3,"cdd0000"
"60","14A-1","14A","No fixed stress","No fixed stress (mostly weight-sensitive stress)",1,"cffffff"
"61","14A-2","14A","Initial","Initial: stress is on the first syllable",2,"cdd0000"
"62","14A-3","14A","Second","Second: stress is on the second syllable",3,"ddd0000"
"63","14A-4","14A","Third","Third: stress is on the third syllable",4,"sdd0000"
"64","14A-5","14A","Antepenultimate","Antepenultimate: stress is on the antepenultimate (third from the right) syllable",5,"s0000dd"
"65","14A-6","14A","Penultimate","Penultimate: stress is on the penultimate (second from the right) syllable",6,"d0000dd"
"66","14A-7","14A","Ultimate","Ultimate: stress is on the ultimate (last) syllable",7,"c0000dd"
"67","15A-1","15A","Left-edge: First or second","Left-edge: Stress is on the first or second syllable",1,"cdd0000"
"68","15A-2","15A","Left-oriented: One of the first three","Left-oriented: The third syllable is involved",2,"ddd0000"
"69","15A-3","15A","Right-edge: Ultimate or penultimate","Right-edge: Stress on ultimate or penultimate syllable",3,"c0000dd"
"70","15A-4","15A","Right-oriented: One of the last three","Right-oriented: The antepenultimate is involved",4,"d0000dd"
"71","15A-5","15A","Unbounded: Stress can be anywhere","Unbounded: Stress can be anywhere in the word",5,"cffff00"
"72","15A-6","15A","Combined: Right-edge and unbounded","Combined: Both Right-edge and unbounded",6,"ccccccc"
"73","15A-7","15A","Not predictable","Not predictable",7,"c990099"
"74","15A-8","15A","Fixed stress (no weight-sensitivity)","Fixed stress (no weight-sensitivity)",8,"cffffff"
"75","16A-1","16A","No weight","No weight, or weight factor unknown",1,"cffffff"
"76","16A-2","16A","Long vowel","Long vowel: long vowels are heavy for stress",2,"cdd0000"
"77","16A-3","16A","Coda consonant","Coda consonant: closed syllables are heavy for stress",3,"c0000dd"
"78","16A-4","16A","Long vowel or coda consonant","Long vowel + Coda: long vowels or closed syllables",4,"c990099"
"79","16A-5","16A","Prominence","Prominence: other factors are heavy for stress",5,"c000000"
"80","16A-6","16A","Lexical stress","Lexical: lexical stress, diacritic weight",6,"cffff00"
"81","16A-7","16A","Combined","Combined: two of the above factors determine weight",7,"ccccccc"
"82","17A-1","17A","Trochaic","Trochaic: left-hand syllable in the foot is strong",1,"cdd0000"
"83","17A-2","17A","Iambic","Iambic: right-hand syllable in the foot is strong",2,"c0000dd"
"84","17A-3","17A","Dual: both trochaic and iambic","Dual: system has both trochaic and iambic feet",3,"c990099"
"85","17A-4","17A","Undetermined","Undetermined: no clear foot type",4,"ccccccc"
"86","17A-5","17A","No rhythmic stress","Absent: no rhythmic stress",5,"cffffff"
"87","18A-1","18A","All present","All present",1,"cffffff"
"88","18A-2","18A","No bilabials","No bilabials",2,"c0000dd"
"89","18A-3","18A","No fricatives","No fricatives",3,"cffff00"
"90","18A-4","18A","No nasals","No nasals",4,"cdd0000"
"91","18A-5","18A","No bilabials or nasals","No bilabials or nasals",5,"c990099"
"92","18A-6","18A","No fricatives or nasals","No fricatives or nasals",6,"cff6600"
"93","19A-1","19A","None","None",1,"cffffff"
"94","19A-2","19A","Clicks","Clicks",2,"d000000"
"95","19A-3","19A","Labial-velars","Labial-velars",3,"cffff00"
"96","19A-4","19A","Pharyngeals","Pharyngeals",4,"s0000dd"
"97","19A-5","19A","'Th' sounds","'Th' sounds",5,"cdd0000"
"98","19A-6","19A","Clicks, pharyngeals, and 'th'","Clicks, pharyngeals, and 'th'",6,"ddd0000"
"99","19A-7","19A","Pharyngeals and ""th""","Pharyngeals and 'th'",7,"sdd0000"
"100","20A-1","20A","Exclusively concatenative","Exclusively concatenative",1,"c0000dd"
"101","20A-2","20A","Exclusively isolating","Exclusively isolating",2,"cffffff"
"102","20A-3","20A","Exclusively tonal","Exclusively tonal",3,"ddd0000"
"103","20A-4","20A","Tonal/isolating","Tonal/isolating",4,"dff66ff"
"104","20A-5","20A","Tonal/concatenative","Tonal/concatenative",5,"d990099"
"105","20A-6","20A","Ablaut/concatenative","Ablaut/concatenative",6,"cffff00"
"106","20A-7","20A","Isolating/concatenative","Isolating/concatenative",7,"c9999ff"
"107","21A-1","21A","Monoexponential case","Monoexponential case",1,"cffff00"
"108","21A-2","21A","Case + number","Case + number",2,"cdd0000"
"109","21A-3","21A","Case + referentiality","Case + referentiality",3,"c990099"
"110","21A-4","21A","Case + TAM","Case + TAM (tense-aspect-mood)",4,"c0000dd"
"111","21A-5","21A","No case","No case",5,"cffffff"
"112","21B-1","21B","monoexponential TAM","monoexponential TAM",1,"cffff00"
"113","21B-2","21B","TAM+agreement","TAM+agreement",2,"c990099"
"114","21B-3","21B","TAM+agreement+diathesis","TAM+agreement+diathesis",3,"cdd0000"
"115","21B-4","21B","TAM+agreement+construct","TAM+agreement+construct",4,"c66ff33"
"116","21B-5","21B","TAM+polarity","TAM+polarity",5,"c0000dd"
"117","21B-6","21B","no TAM","no TAM",6,"cffffff"
"118","22A-1","22A","0-1 category per word","0-1 category per word",1,"c0000dd"
"119","22A-2","22A","2-3 categories per word","2-3 categories per word",2,"c9999ff"
"120","22A-3","22A","4-5 categories per word","4-5 categories per word",3,"cffffff"
"121","22A-4","22A","6-7 categories per word","6-7 categories per word",4,"cff6600"
"122","22A-5","22A","8-9 categories per word","8-9 categories per word",5,"cff6600"
"123","22A-6","22A","10-11 categories per word","10-11 categories per word",6,"cdd0000"
"124","22A-7","22A","12-13 categories per word","12-13 categories per word",7,"caa0000"
"125","23A-1","23A","Head marking","P is head-marked",1,"cdd0000"
"126","23A-2","23A","Dependent marking","P is dependent-marked",2,"c0000dd"
"127","23A-3","23A","Double marking","P is double-marked",3,"c990099"
"128","23A-4","23A","No marking","P has no marking",4,"cffffff"
"129","23A-5","23A","Other","Other types",5,"cffff00"
"130","24A-1","24A","Head marking","Possessor is head-marked",1,"cdd0000"
"131","24A-2","24A","Dependent marking","Possessor is dependent-marked",2,"c0000dd"
"132","24A-3","24A","Double marking","Possessor is double-marked",3,"c990099"
"133","24A-4","24A","No marking","Possessor has no marking",4,"cffffff"
"134","24A-5","24A","Other","Other types",5,"cffff00"
"135","25A-1","25A","Head-marking","Consistently head-marking",1,"cdd0000"
"136","25A-2","25A","Dependent-marking","Consistently dependent-marking",2,"c0000dd"
"137","25A-3","25A","Double-marking","Consistently double-marking",3,"c990099"
"138","25A-4","25A","Zero-marking","Consistently zero-marking",4,"cffffff"
"139","25A-5","25A","Inconsistent or other","Inconsistent marking or other type",5,"ccccccc"
"140","25B-1","25B","Zero-marking","Zero-marking",1,"cffffff"
"141","25B-2","25B","Non-zero marking","Non-zero marking",2,"cff6600"
"142","26A-1","26A","Little affixation","Little or no inflectional morphology",1,"cffffff"
"143","26A-2","26A","Strongly suffixing","Predominantly suffixing",2,"c0000dd"
"144","26A-3","26A","Weakly suffixing","Moderate preference for suffixing",3,"d0000dd"
"145","26A-4","26A","Equal prefixing and suffixing","Approximately equal amounts of suffixing and prefixing",4,"d990099"
"146","26A-5","26A","Weakly prefixing","Moderate preference for prefixing",5,"ddd0000"
"147","26A-6","26A","Strong prefixing","Predominantly prefixing",6,"cdd0000"
"148","27A-1","27A","Productive full and partial reduplication","Productive full and partial reduplication",1,"cdd0000"
"149","27A-2","27A","Full reduplication only","Full reduplication only",2,"cff66ff"
"150","27A-3","27A","No productive reduplication","No productive reduplication",3,"cffffff"
"151","28A-1","28A","No case marking","Inflectional case marking is absent or minimal",1,"cffffff"
"152","28A-2","28A","Core cases only","Inflectional case marking is syncretic for core cases only",2,"cff66ff"
"153","28A-3","28A","Core and non-core","Inflectional case marking is syncretic for core and non-core cases",3,"cdd0000"
"154","28A-4","28A","No syncretism","Inflectional case marking is never syncretic",4,"c0000dd"
"155","29A-1","29A","No subject person/number marking","No subject person/number marking",1,"cffffff"
"156","29A-2","29A","Syncretic","Subject person/number marking is syncretic",2,"cdd0000"
"157","29A-3","29A","Not syncretic","Subject person/number marking is never syncretic",3,"c0000dd"
"158","30A-1","30A","None","None",1,"cffffff"
"159","30A-2","30A","Two","Two",2,"cffff00"
"160","30A-3","30A","Three","Three",3,"cff6600"
"161","30A-4","30A","Four","Four",4,"cdd0000"
"162","30A-5","30A","Five or more","Five or more",5,"c000000"
"163","31A-1","31A","No gender","No gender system",1,"cffffff"
"164","31A-2","31A","Sex-based","Sex-based gender system",2,"cdd0000"
"165","31A-3","31A","Non-sex-based","Non-sex-based gender system",3,"c0000dd"
"166","32A-1","32A","No gender","No gender system",1,"cffffff"
"167","32A-2","32A","Semantic","Semantic assignment",2,"cdd0000"
"168","32A-3","32A","Semantic and formal","Semantic and formal assignment",3,"c0000dd"
"169","33A-1","33A","Plural prefix","Plural prefix",1,"cdd0000"
"170","33A-2","33A","Plural suffix","Plural suffix",2,"c0000dd"
"171","33A-3","33A","Plural stem change","Plural stem change",3,"caa0000"
"172","33A-4","33A","Plural tone","Plural tone",4,"c000000"
"173","33A-5","33A","Plural complete reduplication","Plural by complete reduplication of stem",5,"cffff00"
"174","33A-6","33A","Mixed morphological plural","Morphological plural with no method primary",6,"ccccccc"
"175","33A-7","33A","Plural word","Plural word",7,"cff6600"
"176","33A-8","33A","Plural clitic","Plural clitic",8,"dff6600"
"177","33A-9","33A","No plural","No plural",9,"cffffff"
"178","34A-1","34A","No nominal plural","No nominal plural",1,"cffffff"
"179","34A-2","34A","Only human nouns, optional","Plural only in human nouns, optional",2,"c9999ff"
"180","34A-3","34A","Only human nouns, obligatory","Plural only in human nouns, obligatory",3,"c0000dd"
"181","34A-4","34A","All nouns, always optional","Plural in all nouns, always optional",4,"cffff00"
"182","34A-5","34A","All nouns, optional in inanimates","Plural in all nouns, optional in inanimates",5,"cff6600"
"183","34A-6","34A","All nouns, always obligatory","Plural in all nouns, always obligatory",6,"cdd0000"
"184","35A-1","35A","No independent subject pronouns","No independent subject pronouns",1,"cffffff"
"185","35A-2","35A","Number-indifferent pronouns","Number-indifferent pronouns",2,"ccccccc"
"186","35A-3","35A","Person-number affixes","Person-number affixes",3,"cffff00"
"187","35A-4","35A","Person-number stem","Person-number stem",4,"cdd0000"
"188","35A-5","35A","Person-number stem + pronominal plural affix","Person-number stem with a pronominal plural affix",5,"c9999ff"
"189","35A-6","35A","Person-number stem + nominal plural affix","Person-number stem with a nominal plural affix",6,"c0000dd"
"190","35A-7","35A","Person stem + pronominal plural affix","Person stem with a pronominal plural affix",7,"d9999ff"
"191","35A-8","35A","Person stem + nominal plural affix","Person stem with a nominal plural affix",8,"d0000dd"
"192","36A-1","36A","Associative same as additive plural","Associative plural marker also used for additive plurals",1,"c0000dd"
"193","36A-2","36A","Unique affixal associative plural","Special bound associative plural marker",2,"cdd0000"
"194","36A-3","36A","Unique periphrastic associative plural","Special non-bound associative plural marker",3,"cff6600"
"195","36A-4","36A","No associative plural","Associative plural absent",4,"cffffff"
"196","37A-1","37A","Definite word distinct from demonstrative","Definite word distinct from demonstrative",1,"c0000dd"
"197","37A-2","37A","Demonstrative word used as definite article","Demonstrative word used as marker of definiteness",2,"c9999ff"
"198","37A-3","37A","Definite affix","Definite affix on noun",3,"cdd0000"
"199","37A-4","37A","No definite, but indefinite article","No definite article but indefinite article",4,"dffffff"
"200","37A-5","37A","No definite or indefinite article","Neither definite nor indefinite article",5,"cffffff"
"201","38A-1","38A","Indefinite word distinct from 'one'","Indefinite word distinct from numeral for 'one'",1,"c0000dd"
"202","38A-2","38A","Indefinite word same as 'one'","Numeral for 'one' is used as indefinite article",2,"c9999ff"
"203","38A-3","38A","Indefinite affix","Indefinite affix on noun",3,"cdd0000"
"204","38A-4","38A","No indefinite, but definite article","No indefinite article but definite article",4,"dffffff"
"205","38A-5","38A","No definite or indefinite article","Neither indefinite nor definite",5,"cffffff"
"206","39A-1","39A","No 'we'","No grammaticalised marking at all",1,"cffffff"
"207","39A-2","39A","'We' the same as 'I'","'We' and 'I' identical",2,"c9999ff"
"208","39A-3","39A","No inclusive/exclusive","No inclusive/exclusive opposition",3,"c0000dd"
"209","39A-4","39A","Only inclusive","Only inclusive differentiated",4,"cff66ff"
"210","39A-5","39A","Inclusive/exclusive","Inclusive and exclusive differentiated",5,"cdd0000"
"211","39B-1","39B","No inclusive/exclusive opposition","No inclusive/exclusive opposition",1,"c0000dd"
"212","39B-2","39B","Inclusive and exclusive differentiated","Inclusive and exclusive differentiated",2,"cdd0000"
"213","40A-1","40A","No person marking","No person marking at all",1,"cffffff"
"214","40A-2","40A","'We' the same as 'I'","'We' and 'I' identical",2,"c9999ff"
"215","40A-3","40A","No inclusive/exclusive","No inclusive/exclusive opposition",3,"c0000dd"
"216","40A-4","40A","Only inclusive","Only inclusive differentiated",4,"cff66ff"
"217","40A-5","40A","Inclusive/exclusive","Inclusive and exclusive differentiated",5,"cdd0000"
"218","41A-1","41A","No distance contrast","No distance contrast",1,"cffffff"
"219","41A-2","41A","Two-way contrast","Two-way contrast",2,"cffff00"
"220","41A-3","41A","Three-way contrast","Three-way contrast",3,"cff6600"
"221","41A-4","41A","Four-way contrast","Four-way contrast",4,"cdd0000"
"222","41A-5","41A","Five (or more)-way contrast","Five (or more)-way contrast",5,"c000000"
"223","42A-1","42A","Identical","Same forms",1,"cffff00"
"224","42A-2","42A","Different stem","Different stems",2,"cdd0000"
"225","42A-3","42A","Different inflection","Different inflectional features",3,"c0000dd"
"226","43A-1","43A","Unrelated","Third person pronouns and demonstratives are unrelated to demonstratives",1,"cffffff"
"227","43A-2","43A","Related for all demonstratives","Third person pronouns and demonstratives are related to all demonstratives",2,"cdd0000"
"228","43A-3","43A","Related to remote demonstratives","Third person pronouns and demonstratives are related to remote demonstratives",3,"ddd0000"
"229","43A-4","43A","Related to non-remote demonstratives","Third person pronouns and demonstratives are related to non-remote demonstratives",4,"sdd0000"
"230","43A-5","43A","Related by gender markers","Third person pronouns and demonstratives are related by gender markers",5,"cffff00"
"231","43A-6","43A","Related for non-human reference","Third person pronouns and demonstratives are related for non-human reference",6,"c0000dd"
"232","44A-1","44A","In 3rd person + 1st and/or 2nd person","Gender distinctions in 3rd person plus 1st and/or 2nd person",1,"c0000dd"
"233","44A-2","44A","3rd person only, but also non-singular","Gender distinctions in 3rd person only, but in both singular and non-singular",2,"cdd0000"
"234","44A-3","44A","3rd person singular only","Gender distinctions in 3rd person singular only",3,"cff66ff"
"235","44A-4","44A","1st or 2nd person but not 3rd","Gender distinctions in 1st or 2nd person but not 3rd",4,"d0000dd"
"236","44A-5","44A","3rd person non-singular only","Gender distinctions in 3rd person non-singular only",5,"dff66ff"
"237","44A-6","44A","No gender distinctions","No gender distinctions",6,"cffffff"
"238","45A-1","45A","No politeness distinction","Second person pronouns encode no politeness distinction",1,"cffffff"
"239","45A-2","45A","Binary politeness distinction","Second person pronouns encode a binary politeness distinction",2,"cffff00"
"240","45A-3","45A","Multiple politeness distinctions","Second person pronouns encode multiple politeness distinctions",3,"cdd0000"
"241","45A-4","45A","Pronouns avoided for politeness","Second person pronouns are dominantly avoided for politeness reasons",4,"c0000dd"
"242","46A-1","46A","Interrogative-based","Interrogative-based indefinites",1,"cdd0000"
"243","46A-2","46A","Generic-noun-based","Generic-noun-based indefinites",2,"c0000dd"
"244","46A-3","46A","Special","Special indefinites",3,"cffff00"
"245","46A-4","46A","Mixed","Mixed indefinites",4,"ccccccc"
"246","46A-5","46A","Existential construction","Existential construction",5,"cffffff"
"247","47A-1","47A","Identical","Intensifiers and reflexive pronouns are formally identical",1,"cffff00"
"248","47A-2","47A","Differentiated","Intensifiers and reflexive pronouns are formally differentiated",2,"cdd0000"
"249","48A-1","48A","No adpositions","No adpositions",1,"cffffff"
"250","48A-2","48A","No person marking","Adpositions without person marking",2,"c0000dd"
"251","48A-3","48A","Pronouns only","Person marking for pronouns only",3,"cff66ff"
"252","48A-4","48A","Pronouns and nouns","Person marking for pronouns and nouns",4,"cdd0000"
"253","49A-1","49A","No morphological case-marking","No morphological case-marking",1,"cffffff"
"254","49A-2","49A","2 cases","2 case categories",2,"cffffcc"
"255","49A-3","49A","3 cases","3 case categories",3,"cffff00"
"256","49A-4","49A","4 cases","4 case categories",4,"cffcc00"
"257","49A-5","49A","5 cases","5 case categories",5,"cff4400"
"258","49A-6","49A","6-7 cases","6-7 case categories",6,"cdd0000"
"259","49A-7","49A","8-9 cases","8-9 case categories",7,"caa0000"
"260","49A-8","49A","10 or more cases","10 or more case categories",8,"c000000"
"261","49A-9","49A","Exclusively borderline case-marking","Exclusively borderline morphological case-marking",9,"dffffff"
"262","50A-1","50A","No case-marking","No morphological case-marking",1,"cffffff"
"263","50A-2","50A","Symmetrical","Symmetrical case-marking",2,"c0000dd"
"264","50A-3","50A","Additive-quantitatively asymmetrical","Additive-quantitatively asymmetrical case-marking",3,"cdd0000"
"265","50A-4","50A","Subtractive-quantitatively asymmetrical","Subtractive-quantitatively asymmetrical case-marking",4,"ddd0000"
"266","50A-5","50A","Qualitatively asymmetrical","Qualitatively asymmetrical case-marking",5,"sdd0000"
"267","50A-6","50A","Syncretism in relevant NP-types","Syncretism in relevant NP-types",6,"cffff00"
"268","51A-1","51A","Case suffixes","Case suffixes",1,"c0000dd"
"269","51A-2","51A","Case prefixes","Case prefixes",2,"cdd0000"
"270","51A-3","51A","Case tone","Case coded by tone",3,"c000000"
"271","51A-4","51A","Case stem change","Case coded by changes within noun stem",4,"cffff00"
"272","51A-5","51A","Mixed morphological case","Mixed morphological case strategies with none primary",5,"ccccccc"
"273","51A-6","51A","Postpositional clitics","Postpositional clitics",6,"d0000dd"
"274","51A-7","51A","Prepositional clitics","Prepositional clitics",7,"ddd0000"
"275","51A-8","51A","Inpositional clitics","Inpositional clitics",8,"daa0000"
"276","51A-9","51A","No case affixes or adpositional clitics","Neither case affixes nor adpositional clitics",9,"cffffff"
"277","52A-1","52A","Identity","Identity",1,"cffff00"
"278","52A-2","52A","Differentiation","Differentiation",2,"cdd0000"
"279","52A-3","52A","Mixed","Mixed",3,"cff6600"
"280","53A-1","53A","None","Zero: Ordinal numerals do not exist",1,"cffffff"
"281","53A-2","53A","One, two, three","One: No distinction of cardinal and ordinal numerals",2,"cffff00"
"282","53A-3","53A","First, two, three","First: Cardinal and ordinal numerals are identical except for 'one' and 'first'",3,"cff6600"
"283","53A-4","53A","One-th, two-th, three-th","One-th: One-th: Ordinal numerals are derived from cardinal numerals",4,"cdd0000"
"284","53A-5","53A","First/one-th, two-th, three-th","First/One-th: All ordinal numerals are derived from cardinal numerals with different allomorphs for 'first' one of which is morphologically independent of 'one'",5,"c990099"
"285","53A-6","53A","First, two-th, three-th","Two-th: Two-th: Ordinal numerals from 'two' upwards are derived from cardinal numerals, 'first' is suppletive",6,"c0000dd"
"286","53A-7","53A","First, second, three-th","Second: 'First' and a small set of consecutive higher ordinal numerals are suppletive",7,"c000000"
"287","53A-8","53A","Various","Variou-th: Other solutions",8,"ccccccc"
"288","54A-1","54A","No distributive numerals","No distributive numerals",1,"cffffff"
"289","54A-2","54A","Marked by reduplication","Marked by reduplication",2,"cffff00"
"290","54A-3","54A","Marked by prefix","Marked by prefix",3,"cdd0000"
"291","54A-4","54A","Marked by suffix","Marked by suffix",4,"c0000dd"
"292","54A-5","54A","Marked by preceding word","Marked by preceding word",5,"ddd0000"
"293","54A-6","54A","Marked by following word","Marked by following word",6,"d0000dd"
"294","54A-7","54A","Marked by mixed or other strategies","Marked by mixed or other strategies",7,"ccccccc"
"295","55A-1","55A","Absent","Numeral classifiers are absent",1,"cffffff"
"296","55A-2","55A","Optional","Numeral classifiers are optional",2,"cff66ff"
"297","55A-3","55A","Obligatory","Numeral classifiers are obligatory",3,"cdd0000"
"298","56A-1","56A","Formally different","Formally different",1,"cdd0000"
"299","56A-2","56A","Formally similar, without interrogative","Formally similar, not involving interrogative expression",2,"cffff00"
"300","56A-3","56A","Formally similar, with interrogative","Formally similar, involving interrogative expression",3,"c0000dd"
"301","57A-1","57A","Possessive prefixes","Possessive prefixes",1,"cdd0000"
"302","57A-2","57A","Possessive suffixes","Possessive suffixes",2,"c0000dd"
"303","57A-3","57A","Prefixes and suffixes","Both possessive prefixes and possessive suffixes, with neither primary",3,"ccccccc"
"304","57A-4","57A","No possessive affixes","No possessive affixes",4,"cffffff"
"305","58A-1","58A","Exists","Obligatorily possessed nouns exist",1,"cdd0000"
"306","58A-2","58A","Absent","No obligatorily possessed nouns",2,"cffffff"
"307","58B-1","58B","None reported","None reported",1,"cffffff"
"308","58B-2","58B","One","One",2,"cffff00"
"309","58B-3","58B","Two to four","Two to four",3,"cdd0000"
"310","58B-4","58B","Five or more","Five or more",4,"c0000dd"
"311","59A-1","59A","No possessive classification","No possessive classification",1,"cffffff"
"312","59A-2","59A","Two classes","Two classes",2,"cffff00"
"313","59A-3","59A","Three to five classes","Three to five classes",3,"cff6600"
"314","59A-4","59A","More than five classes","More than five classes",4,"cdd0000"
"315","60A-1","60A","Weakly differentiated","Weakly differentiated",1,"cffffff"
"316","60A-2","60A","Genitives and adjectives collapsed","Moderately differentiated, with genitives and adjectives collapsed",2,"dffff00"
"317","60A-3","60A","Genitives and relative clauses collapsed","Moderately differentiated, with genitives and relative clauses collapsed",3,"sffff00"
"318","60A-4","60A","Adjectives and relative clauses collapsed","Moderately differentiated, with adjectives and relative clauses collapsed",4,"cffff00"
"319","60A-5","60A","Moderately differentiated in other ways","Moderately differentiated; other",5,"cffff00"
"320","60A-6","60A","Highly differentiated","Highly differentiated",6,"cdd0000"
"321","61A-1","61A","Not without noun","Adjective may not occur without noun",1,"cffffff"
"322","61A-2","61A","Without marking","Adjective may occur without noun, and without marking",2,"cffff00"
"323","61A-3","61A","Marked by prefix","Adjective may occur without noun, obligatorily marked by prefix",3,"cdd0000"
"324","61A-4","61A","Marked by suffix","Adjective may occur without noun, obligatorily marked by suffix",4,"c0000dd"
"325","61A-5","61A","Marked by preceding word","Adjective may occur without noun, obligatorily marked by preceding word",5,"ddd0000"
"326","61A-6","61A","Marked by following word","Adjective may occur without noun, obligatorily marked by following word",6,"d0000dd"
"327","61A-7","61A","Marked by mixed or other strategies","Adjective may occur without noun, obligatorily marked by mixed or other strategies",7,"ccccccc"
"328","62A-1","62A","Sentential","Sentential: dependent-marking of the finite clause is retained for S, A and P",1,"cffff00"
"329","62A-2","62A","Possessive-Accusative","Possessive-Accusative: S/A treated as possessors, P retains sentential marking",2,"c0000dd"
"330","62A-3","62A","Ergative-Possessive","Ergative-Possessive: S/P treated as possessors, A treated differently",3,"cdd0000"
"331","62A-4","62A","Double-Possessive","Double-Possessive: All major arguments treated as possessors",4,"c990099"
"332","62A-5","62A","Other","Other: Minor patterns",5,"dcccccc"
"333","62A-6","62A","Mixed","Mixed: Several patterns in the same language",6,"ccccccc"
"334","62A-7","62A","Restricted","Not both A and P in the same construction",7,"c000000"
"335","62A-8","62A","No action nominals","No action nominals",8,"cffffff"
